Symbol,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BPCL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIPORTS,1.0,0.815,-0.247,0.77,0.888,0.215,-0.486,0.9,0.941,0.894,0.959,0.833,0.809,0.859,0.629,0.316,0.17,0.927,0.804,0.239,0.832,-0.196,0.605,0.334,0.768,0.1,0.855,0.803,0.784,0.358,0.928,0.933,0.943,0.9,0.682,0.925,0.794,0.833,0.917,0.834,0.817,0.659,0.215,0.779,0.856,0.799
APOLLOHOSP,0.815,1.0,-0.158,0.607,0.894,0.509,-0.411,0.752,0.873,0.896,0.8,0.857,0.72,0.807,0.913,0.429,0.484,0.813,0.722,0.388,0.853,-0.447,0.843,0.53,0.8,0.235,0.713,0.759,0.564,0.167,0.901,0.796,0.831,0.645,0.817,0.74,0.9,0.948,0.688,0.521,0.862,0.85,0.269,0.878,0.83,0.907
ASIANPAINT,-0.247,-0.158,1.0,0.001,-0.163,0.463,0.609,-0.246,-0.252,-0.201,-0.2,-0.066,-0.166,-0.128,-0.084,0.299,0.384,-0.134,-0.083,0.61,-0.211,0.442,0.107,0.461,-0.06,0.576,-0.141,-0.212,-0.3,0.332,-0.148,-0.24,-0.266,-0.221,0.207,-0.427,-0.03,-0.21,-0.247,-0.357,-0.038,-0.031,0.371,-0.093,0.017,-0.231
AXISBANK,0.77,0.607,0.001,1.0,0.743,0.335,-0.155,0.863,0.674,0.695,0.738,0.644,0.84,0.848,0.453,0.635,0.258,0.837,0.835,0.474,0.82,-0.205,0.54,0.464,0.811,0.276,0.653,0.822,0.597,0.327,0.769,0.664,0.821,0.65,0.601,0.773,0.741,0.621,0.597,0.71,0.596,0.681,0.003,0.735,0.868,0.675
BAJAJ-AUTO,0.888,0.894,-0.163,0.743,1.0,0.516,-0.323,0.873,0.924,0.952,0.896,0.834,0.848,0.902,0.752,0.454,0.384,0.931,0.869,0.424,0.92,-0.348,0.726,0.521,0.884,0.171,0.746,0.893,0.794,0.296,0.956,0.85,0.932,0.728,0.822,0.852,0.937,0.946,0.786,0.745,0.823,0.802,0.2,0.936,0.861,0.816
BAJAJFINSV,0.215,0.509,0.463,0.335,0.516,1.0,0.385,0.248,0.324,0.407,0.229,0.377,0.354,0.434,0.568,0.58,0.698,0.344,0.447,0.644,0.489,-0.155,0.595,0.705,0.586,0.534,0.278,0.4,0.202,0.198,0.46,0.183,0.297,0.042,0.689,0.127,0.618,0.519,0.088,0.066,0.417,0.565,0.357,0.576,0.449,0.384
BAJFINANCE,-0.486,-0.411,0.609,-0.155,-0.323,0.385,1.0,-0.353,-0.553,-0.417,-0.511,-0.436,-0.302,-0.286,-0.346,0.251,0.154,-0.375,-0.202,0.28,-0.303,0.291,-0.226,0.203,-0.156,0.378,-0.326,-0.258,-0.307,0.027,-0.4,-0.532,-0.455,-0.473,-0.154,-0.518,-0.205,-0.418,-0.533,-0.337,-0.416,-0.219,0.039,-0.268,-0.261,-0.435
BEL,0.9,0.752,-0.246,0.863,0.873,0.248,-0.353,1.0,0.84,0.861,0.89,0.78,0.935,0.946,0.566,0.538,0.3,0.9,0.905,0.382,0.909,-0.415,0.618,0.476,0.873,0.114,0.729,0.949,0.771,0.16,0.906,0.851,0.958,0.723,0.682,0.925,0.842,0.805,0.761,0.812,0.723,0.777,-0.093,0.863,0.895,0.751
BPCL,0.941,0.873,-0.252,0.674,0.924,0.324,-0.553,0.84,1.0,0.931,0.961,0.871,0.801,0.845,0.708,0.253,0.258,0.903,0.775,0.266,0.838,-0.281,0.667,0.357,0.774,0.028,0.768,0.8,0.805,0.3,0.941,0.933,0.935,0.833,0.764,0.898,0.835,0.909,0.897,0.768,0.86,0.697,0.235,0.838,0.805,0.807
CIPLA,0.894,0.896,-0.201,0.695,0.952,0.407,-0.417,0.861,0.931,1.0,0.907,0.877,0.786,0.87,0.769,0.355,0.363,0.917,0.783,0.413,0.875,-0.35,0.757,0.474,0.807,0.109,0.736,0.857,0.741,0.279,0.922,0.884,0.923,0.755,0.818,0.846,0.908,0.934,0.812,0.698,0.861,0.791,0.193,0.897,0.853,0.839
COALINDIA,0.959,0.8,-0.2,0.738,0.896,0.229,-0.511,0.89,0.961,0.907,1.0,0.867,0.827,0.864,0.599,0.267,0.201,0.93,0.814,0.312,0.809,-0.191,0.615,0.367,0.759,0.073,0.766,0.816,0.83,0.367,0.926,0.961,0.949,0.881,0.728,0.905,0.807,0.839,0.928,0.82,0.82,0.66,0.175,0.805,0.833,0.746
DRREDDY,0.833,0.857,-0.066,0.644,0.834,0.377,-0.436,0.78,0.871,0.877,0.867,1.0,0.713,0.86,0.766,0.375,0.505,0.799,0.677,0.503,0.811,-0.325,0.822,0.553,0.713,0.197,0.647,0.757,0.665,0.298,0.872,0.905,0.857,0.729,0.87,0.764,0.855,0.881,0.811,0.547,0.906,0.784,0.172,0.829,0.835,0.821
EICHERMOT,0.809,0.72,-0.166,0.84,0.848,0.354,-0.302,0.935,0.801,0.786,0.827,0.713,1.0,0.921,0.517,0.605,0.369,0.847,0.922,0.409,0.897,-0.455,0.578,0.545,0.9,0.097,0.649,0.932,0.763,0.105,0.881,0.77,0.911,0.598,0.691,0.868,0.819,0.778,0.676,0.763,0.67,0.767,-0.112,0.865,0.844,0.664
GRASIM,0.859,0.807,-0.128,0.848,0.902,0.434,-0.286,0.946,0.845,0.87,0.864,0.86,0.921,1.0,0.666,0.589,0.471,0.884,0.899,0.513,0.956,-0.449,0.742,0.612,0.904,0.2,0.677,0.945,0.758,0.184,0.927,0.85,0.946,0.676,0.813,0.875,0.916,0.874,0.736,0.72,0.796,0.858,-0.033,0.925,0.921,0.796
HCLTECH,0.629,0.913,-0.084,0.453,0.752,0.568,-0.346,0.566,0.708,0.769,0.599,0.766,0.517,0.666,1.0,0.448,0.605,0.639,0.555,0.436,0.744,-0.478,0.912,0.558,0.685,0.324,0.581,0.61,0.307,0.079,0.759,0.615,0.65,0.444,0.787,0.537,0.815,0.872,0.486,0.254,0.827,0.852,0.306,0.797,0.729,0.898
