Sector,Avg_Return,Stock_Count,Avg_Volatility,Avg_Price,Avg_Volume
RETAILING,113.31,2,1.86,1012349.25,4080.88
DEFENCE,101.76,1,2.33,28472446.58,233.57
POWER,60.18,2,1.91,17084515.97,316.69
AUTOMOBILES,54.53,6,1.68,2936177.92,5395.56
MINING,41.85,1,2.14,11918318.84,435.59
SOFTWARE,38.28,5,1.51,4404313.15,1798.1
CEMENT,36.97,1,1.43,352559.78,10265.76
ENERGY,36.56,3,1.93,15811123.87,644.57
MISCELLANEOUS,36.1,2,2.01,2623519.89,3725.97
ALUMINIUM,35.87,1,1.96,6997897.32,609.0
TEXTILES,35.78,1,1.45,800653.35,2354.87
PHARMACEUTICALS,31.38,3,1.35,2026204.96,1396.79
STEEL,19.22,2,1.73,23083669.53,511.88
ENGINEERING,17.25,1,1.7,2418356.5,3483.05
INSURANCE,11.77,2,1.49,2864533.29,1085.62
FINANCE,11.58,3,1.72,1389596.14,3771.24
BANKING,11.38,6,1.55,11884644.18,1295.38
FOOD & TOBACCO,4.32,2,1.22,7529864.41,1472.36
FMCG,-0.96,1,1.21,1872679.85,2533.72
PAINTS,-21.94,1,1.27,1214614.35,3019.38
